Area Code,12,13,14,15,16,17
110,25,14,12,2,10,8
111,4,11,7,2,8,3
112,71,63,37,23,27,22
113,37,46,23,21,18,14
114,28,32,25,7,9,6
115,6,4,4,7,3,4
116,3,3,9,2,6,6
117,49,39,25,16,19,13
118,13,19,14,4,7,6
119,76,53,26,17,19,15
120,33,27,21,13,14,16
121,6,5,7,,1,6
122,8,5,9,1,1,2
123,3,,3,1,4,3
124,7,15,5,5,6,5
125,46,32,29,18,14,14
126,3,5,1,2,1,4
127,57,39,30,11,18,11
128,178,153,74,46,67,72
Total,653,565,361,198,252,230
